Date,Close
2015-01-02,80.65
2015-01-05,77.66
2015-01-06,77.0
2015-01-07,77.01
2015-01-08,77.69
2015-01-09,77.54
2015-01-12,74.95
2015-01-13,74.97
2015-01-14,75.48
2015-01-15,75.99
2015-01-16,78.06
2015-01-20,78.01
2015-01-21,79.24
2015-01-22,78.86
2015-01-23,78.85
2015-01-26,80.32
2015-01-27,79.41
2015-01-28,76.5
2015-01-29,78.31
2015-01-30,80.0
2015-02-02,80.16
2015-02-03,82.15
2015-02-04,80.85
2015-02-05,82.12
2015-02-06,81.75
2015-02-09,81.26
2015-02-10,81.31
2015-02-11,79.98
2015-02-12,82.04
2015-02-13,83.11
2015-02-17,82.53
2015-02-18,81.37
2015-02-19,80.61
2015-02-20,80.1
2015-02-23,79.8
2015-02-24,79.75
2015-02-25,80.21
2015-02-26,78.32
2015-02-27,77.88
2015-03-02,77.74
2015-03-03,78.01
2015-03-04,78.33
2015-03-05,77.49
2015-03-06,74.77
2015-03-09,74.8
2015-03-10,73.82
2015-03-11,74.26
2015-03-12,74.58
2015-03-13,72.84
2015-03-16,73.11
2015-03-17,72.36
2015-03-18,74.01
2015-03-19,71.87
2015-03-20,72.72
2015-03-23,72.86
2015-03-24,72.45
2015-03-25,73.72
2015-03-26,73.73
2015-03-27,72.72
2015-03-30,73.98
2015-03-31,73.0
2015-04-01,74.24
2015-04-02,74.55
2015-04-06,76.51
2015-04-07,76.81
2015-04-08,76.6
2015-04-09,77.83
2015-04-10,78.45
2015-04-13,77.74
2015-04-14,79.3
2015-04-15,81.51
2015-04-16,81.37
2015-04-17,80.53
2015-04-20,80.37
2015-04-21,79.45
2015-04-22,79.59
2015-04-23,80.04
2015-04-24,79.77
2015-04-27,79.43
2015-04-28,79.7
2015-04-29,80.11
2015-04-30,80.1
2015-05-01,80.5
2015-05-04,80.03
2015-05-05,78.62
2015-05-06,79.42
2015-05-07,77.61
2015-05-08,77.9
2015-05-11,76.68
2015-05-12,76.68
2015-05-13,76.17
2015-05-14,76.29
2015-05-15,76.84
2015-05-18,77.24
2015-05-19,75.84
2015-05-20,76.62
2015-05-21,76.95
2015-05-22,77.01
2015-05-26,76.72
2015-05-27,76.82
2015-05-28,77.73
2015-05-29,78.19
2015-06-01,78.89
2015-06-02,79.44
2015-06-03,78.37
2015-06-04,77.3
2015-06-05,79.09
2015-06-08,77.23
2015-06-09,77.48
2015-06-10,78.83
2015-06-11,78.89
2015-06-12,77.78
2015-06-15,77.45
2015-06-16,78.51
2015-06-17,78.8
2015-06-18,79.1
2015-06-19,77.97
2015-06-22,78.79
2015-06-23,79.4
2015-06-24,79.32
2015-06-25,78.53
2015-06-26,79.21
2015-06-29,77.37
2015-06-30,77.77
2015-07-01,75.95
2015-07-02,75.73
2015-07-06,73.9
2015-07-07,74.2
2015-07-08,72.54
2015-07-09,73.12
2015-07-10,73.31
2015-07-13,73.45
2015-07-14,74.28
2015-07-15,73.09
2015-07-16,72.5
2015-07-17,71.92
2015-07-20,70.26
2015-07-21,70.22
2015-07-22,69.47
2015-07-23,69.69
2015-07-24,68.42
2015-07-27,67.76
2015-07-28,69.62
2015-07-29,70.86
2015-07-30,71.4
2015-07-31,70.2
2015-08-03,69.4
2015-08-04,69.03
2015-08-05,68.66
2015-08-06,69.42
2015-08-07,68.78
2015-08-10,71.28
2015-08-11,71.48
2015-08-12,73.73
2015-08-13,72.93
2015-08-14,73.4
2015-08-17,73.74
2015-08-18,73.79
2015-08-19,72.16
2015-08-20,70.47
2015-08-21,69.26
2015-08-24,65.73
2015-08-25,65.75
2015-08-26,67.15
2015-08-27,70.56
2015-08-28,71.84
2015-08-31,73.01
2015-09-01,70.01
2015-09-02,71.08
2015-09-03,70.86
2015-09-04,69.65
2015-09-08,69.5
2015-09-09,67.64
2015-09-10,67.74
2015-09-11,66.9
2015-09-14,66.19
2015-09-15,66.75
2015-09-16,68.39
2015-09-17,68.34
2015-09-18,66.84
2015-09-21,66.8
